Number,Concept,Description,Described In,Figure,Definition,sentence,kw_bert,Synonyms
11.2,IDENTIFY RISKS,"
identify risks is the process of identifying individual project risks as well as sources of overall project risk; and
documenting their characteristics the key benefit of this process is the documentation of existing individual project risks
and the sources of overall project risk it also brings together information so the project team can respond appropriately
to identified risks this process is performed throughout the project: the inputs, tools and techniques, and outputs of the
process are depicted in figure 11-6. figure 11-7 depicts the data flow diagram for the process.
identify risks
11-6. identify risks: inputs; tools & techniques, and outputs
409
~tic
dis  ~
for
not
figure 11-7. identify risks: data flow diagram
410
part 1
guide
6
for
not
identify risks   considers both individual  project risks and sources of overall project risk   participants in risk
identification activities may include the following: project manager; project team  members, project risk specialist
(if assigned) , customers, subject matter experts from outside the project team, end users, other project managers,
operations managers; stakeholders, and risk management experts within the organization. while these personnel are
often
participants for risk identification; all project stakeholders should be encouraged to identify individual project
risks. it is particularly important to involve the project team so they can develop and maintain a sense of ownership and
responsibility for identified individual project risks, the level of overall project risk, and associated risk response actions
when describing and recording individual project risks, a consistent format should be used for risk statements to
ensure that each risk is understood clearly and unambiguously in order to support effective analysis and risk response
development: risk owners for individual project risks may be nominated as part of the identify risks process, and will
be confirmed during the perform qualitative risk analysis process. preliminary risk responses may also be identified
and recorded and will be reviewed and confirmed as part of the plan risk responses process
identify risks is an iterative process, since new individual project risks
emerge as the project progresses through
its life cycle and the level of overall project risk will also change the frequency of iteration and participation in each risk
identification
will vary by situation, and this will be defined in the risk management plan:",,"PMBOOKimgs/figure11-6, 11-7, 11-7.png","identify risk be the process of identify individual project risk as well as source of overall project risk anddocumente their characteristic the key benefit of this process be the documentation of exist individual project risksand the source of overall project risk it also bring together information so the project team can respond appropriatelyto identify risk this process be perform throughout the project the input , tool and technique , and output of theprocess be depict in figure 116 . figure 117 depict the data flow diagram for the process.identify risks116 . identify risk input tool technique , and outputs409ticdi fornotfigure 117 . identify risk datum flow diagram410part 1guide6fornotidentify risk consider both individual project risk and source of overall project risk participant in riskidentification activity may include the following project manager project team member , project risk specialistif assign , customer , subject matter expert from outside the project team , end user , other project manager , operation manager stakeholder , and risk management expert within the organization . while these personnel areoftenparticipant for risk identification all project stakeholder should be encourage to identify individual projectrisk . it be particularly important to involve the project team so they can develop and maintain a sense of ownership andresponsibility for identify individual project risk , the level of overall project risk , and associate risk response actionswhen describe and record individual project risk , a consistent format should be use for risk statement toensure that each risk be understand clearly and unambiguously in order to support effective analysis and risk responsedevelopment risk owner for individual project risk may be nominate as part of the identify risk process , and willbe confirm during the perform qualitative risk analysis process . preliminary risk response may also be identifiedand record and will be review and confirm as part of the plan risk response processidentify risk be an iterative process , since new individual project risksemerge as the project progress throughit life cycle and the level of overall project risk will also change the frequency of iteration and participation in each riskidentificationwill vary by situation , and this will be define in the risk management plan","['identify risk be the process of identify individual project risk as well as source of overall project risk anddocumente their characteristic the key benefit of this process be the documentation of exist individual project risksand the source of overall project risk it also bring together information so the project team can respond appropriatelyto identify risk this process be perform throughout the project the input , tool and technique , and output of theprocess be depict in figure 116 .', 'figure 117 depict the data flow diagram for the process.identify risks116 .', 'identify risk input tool technique , and outputs409ticdi fornotfigure 117 .', 'identify risk datum flow diagram410part 1guide6fornotidentify risk consider both individual project risk and source of overall project risk participant in riskidentification activity may include the following project manager project team member , project risk specialistif assign , customer , subject matter expert from outside the project team , end user , other project manager , operation manager stakeholder , and risk management expert within the organization .', 'while these personnel areoftenparticipant for risk identification all project stakeholder should be encourage to identify individual projectrisk .', 'it be particularly important to involve the project team so they can develop and maintain a sense of ownership andresponsibility for identify individual project risk , the level of overall project risk , and associate risk response actionswhen describe and record individual project risk , a consistent format should be use for risk statement toensure that each risk be understand clearly and unambiguously in order to support effective analysis and risk responsedevelopment risk owner for individual project risk may be nominate as part of the identify risk process , and willbe confirm during the perform qualitative risk analysis process .', 'preliminary risk response may also be identifiedand record and will be review and confirm as part of the plan risk response processidentify risk be an iterative process , since new individual project risksemerge as the project progress throughit life cycle and the level of overall project risk will also change the frequency of iteration and participation in each riskidentificationwill vary by situation , and this will be define in the risk management plan']","['risk identification project', 'project risk specialistif', 'project risksand source', 'project risk', 'risk identification']","['risk designation externalize', 'danger designation image', 'take chances designation task', 'jeopardy designation projection', 'risk of exposure identification image', 'adventure identification labor', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'take a chance identification', 'put on the line designation', 'put on the line recognition', 'risk of infection identification', 'gamble recognition', 'risk of exposure designation']"
11.2.1,IDENTIFY RISKS: INPUTS,,,,,[],[],[]
11.2.1.1,PROJECT MANAGEMENT PLAN,". project management plan components include but are not limited to:
requirements management plan: described in  section 5.1.3.2. the requirements management plan may
indicate project objectives that are particularly at risk
schedule management plan.. the schedule management plan may identify areas
that are subject to uncertainty or ambiguity:
cost management plan.. the cost management plan may identify areas that are
subject to uncertainty or ambiguity:
quality management plan.. the quality management plan may identify areas that
are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk
resource management plan.. the resource management plan may identify
areas that are subject to uncertainty or ambiguity; or where key assumptions have been made that might give
rise to risk:
m
411
key
may '""
cycle
or
ale
not
risk management plan:. the risk management plan provides information on
risk-related roles and responsibilities, indicates how risk management activities are included in the budget and
schedule, and describes categories of risk, which
be expressed as a risk breakdown structure (figure 11-4).
scope baseline.. the scope baseline includes deliverables and criteria for their
acceptance; some of which might give rise to risk. it also contains the wbs; which can be used as a framework
to structure risk identification techniques
schedule baseline:. the schedule baseline may be reviewed to identify milestones
and deliverable due dates that are subject to uncertainty or ambiguity; or where key assumptions have been
made that might give rise to risk
cost baseline.. the cost baseline may be reviewed to identify costs or funding
requirements that are subject to uncertainty or ambiguity; or where key assumptions have been made that might
give rise to risk","4.2.3.1, 6.1.3.1, 7.1.3.1, 8.1.3.1, 9.1.3.1, 11.1.3.1, 5.4.3.1, 6.5.3.1, 7.3.3.1",PMBOOKimgs/figure11-4.png,". project management plan component include but be not limit torequirement management plan describe in section 5.1.3.2 . the requirement management plan mayindicate project objective that be particularly at riskschedule management plan .. the schedule management plan may identify areasthat be subject to uncertainty or ambiguitycost management plan .. the cost management plan may identify area that aresubject to uncertainty or ambiguityquality management plan .. the quality management plan may identify area thatare subject to uncertainty or ambiguity , or where key assumption have be make that might give rise to riskresource management plan .. the resource management plan may identifyareas that be subject to uncertainty or ambiguity or where key assumption have be make that might giverise to riskm411keymay cycleoralenotrisk management plan . the risk management plan provide information onriskrelate role and responsibility , indicate how risk management activity be include in the budget andschedule , and describe category of risk , whichbe express as a risk breakdown structure figure 114.scope baseline .. the scope baseline include deliverable and criterion for theiracceptance some of which might give rise to risk . it also contain the wb which can be use as a frameworkto structure risk identification techniquesschedule baseline . the schedule baseline may be review to identify milestonesand deliverable due date that be subject to uncertainty or ambiguity or where key assumption have beenmade that might give rise to riskcost baseline .. the cost baseline may be review to identify cost or fundingrequirement that be subject to uncertainty or ambiguity or where key assumption have be make that mightgive rise to risk","['.', 'project management plan component include but be not limit torequirement management plan describe in section 5.1.3.2 .', 'the requirement management plan mayindicate project objective that be particularly at riskschedule management plan ..', 'the schedule management plan may identify areasthat be subject to uncertainty or ambiguitycost management plan ..', 'the cost management plan may identify area that aresubject to uncertainty or ambiguityquality management plan ..', 'the quality management plan may identify area thatare subject to uncertainty or ambiguity , or where key assumption have be make that might give rise to riskresource management plan ..', 'the resource management plan may identifyareas that be subject to uncertainty or ambiguity or where key assumption have be make that might giverise to riskm411keymay cycleoralenotrisk management plan .', 'the risk management plan provide information onriskrelate role and responsibility , indicate how risk management activity be include in the budget andschedule , and describe category of risk , whichbe express as a risk breakdown structure figure 114.scope baseline ..', 'the scope baseline include deliverable and criterion for theiracceptance some of which might give rise to risk .', 'it also contain the wb which can be use as a frameworkto structure risk identification techniquesschedule baseline .', 'the schedule baseline may be review to identify milestonesand deliverable due date that be subject to uncertainty or ambiguity or where key assumption have beenmade that might give rise to riskcost baseline ..', 'the cost baseline may be review to identify cost or fundingrequirement that be subject to uncertainty or ambiguity or where key assumption have be make that mightgive rise to risk']","['plan risk management', 'riskresource management plan', 'risk management plan', 'project management plan', 'management plan risk']","['program take chances direction', 'plan chance management', 'contrive risk of exposure management', 'be after endangerment management', 'architectural plan take a chance direction', 'contrive hazard direction', 'hazard direction project', 'take a chance direction architectural plan', 'lay on the line management programme', 'lay on the line management be after', 'endangerment management architectural plan', 'chance direction architectural plan', 'design management programme', 'project management be after', 'see direction program', 'task direction contrive', 'design direction contrive', 'externalise management design', 'management architectural plan chance', 'management architectural plan gamble', 'direction program gamble', 'management contrive risk of infection', 'management architectural plan risk', 'direction project chance']"
11.2.1.2,PROJECT DOCUMENTS,"
project documents that can be considered as inputs for this process include but are not limited to:
assumption log.. assumptions and constraints recorded in the assumption log may
give rise to individual project risks and may also influence the level of overall project risk
cost estimates.. cost estimates provide quantitative assessments of project costs,
ideally expressed as a range, indicating the degree of risk; where a structured review of the documents may
indicate that the current estimate is insufficient and poses a risk to the project:
duration estimates.. duration estimates provide quantitative assessments of
project durations, ideally expressed as a range, indicating the degree of risk; where a structured review of the
documents may indicate that the current estimate is insufficient and poses a risk to the project 
issue log:. issues recorded in the issue log may give rise to individual project risks
and may also influence the level of overall project risk
lessons learned register:. lessons learned aboutrisk identified from earlier phases
of the project are reviewed to determine whether similar risks might recur during the remainder of the project 
requirements documentation.. requirements documentation lists the project
requirements and allows the team to identify those that could be at risk
412
part 1
guide
may
'aep""
for
not
resource   requirements.
described
in
section
9.2.3.1.
resource   requirements   provide   quantitative
assessments of project resource requirements, ideally expressed as a range, indicating the degree of risk;
where a structured review of the documents may indicate that the current estimate is insufficient and poses
a risk to the project
stakeholder register:. the stakeholder register indicates which individuals or
groups might participate in identifying risks to the project: it also details those individuals who are available to
act as risk owners:","4.1.3.2, 7.2.3.1, 6.4.3.1, 4.3.3.3, 4.4.3.1, 5.2.3.1, 13.1.3.1",,"project document that can be consider as input for this process include but be not limited toassumption log .. assumption and constraint record in the assumption log maygive rise to individual project risk and may also influence the level of overall project riskcost estimate .. cost estimate provide quantitative assessment of project cost , ideally express as a range , indicate the degree of risk where a structured review of the document mayindicate that the current estimate be insufficient and pose a risk to the projectduration estimate .. duration estimate provide quantitative assessment ofproject duration , ideally express as a range , indicate the degree of risk where a structured review of thedocument may indicate that the current estimate be insufficient and pose a risk to the project issue log . issue record in the issue log may give rise to individual project risksand may also influence the level of overall project risklesson learn register . lesson learn aboutrisk identify from early phasesof the project be review to determine whether similar risk might recur during the remainder of the project requirement documentation .. requirement documentation list the projectrequirement and allow the team to identify those that could be at risk412part 1guidemayaepfornotresource requirements.describedinsection9.2.3.1.resource requirement provide quantitativeassessment of project resource requirement , ideally express as a range , indicate the degree of riskwhere a structured review of the document may indicate that the current estimate be insufficient and posesa risk to the projectstakeholder register . the stakeholder register indicate which individual orgroup might participate in identify risk to the project it also detail those individual who be available toact as risk owner","['project document that can be consider as input for this process include but be not limited toassumption log .. assumption and constraint record in the assumption log maygive rise to individual project risk and may also influence the level of overall project riskcost estimate .. cost estimate provide quantitative assessment of project cost , ideally express as a range , indicate the degree of risk where a structured review of the document mayindicate that the current estimate be insufficient and pose a risk to the projectduration estimate .. duration estimate provide quantitative assessment ofproject duration , ideally express as a range , indicate the degree of risk where a structured review of thedocument may indicate that the current estimate be insufficient and pose a risk to the project issue log .', 'issue record in the issue log may give rise to individual project risksand may also influence the level of overall project risklesson learn register .', 'lesson learn aboutrisk identify from early phasesof the project be review to determine whether similar risk might recur during the remainder of the project requirement documentation .. requirement documentation list the projectrequirement and allow the team to identify those that could be at risk412part 1guidemayaepfornotresource requirements.describedinsection9.2.3.1.resource requirement provide quantitativeassessment of project resource requirement , ideally express as a range , indicate the degree of riskwhere a structured review of the document may indicate that the current estimate be insufficient and posesa risk to the projectstakeholder register .', 'the stakeholder register indicate which individual orgroup might participate in identify risk to the project it also detail those individual who be available toact as risk owner']","['risk projectduration', 'project requirement documentation', 'risk projectduration estimate', 'requirement documentation requirement', 'risk project issue']","['task demand corroboration', 'contrive requirement software documentation', 'throw prerequisite certification', 'stick out necessity support', 'image prerequisite software documentation', 'visualise essential corroboration', 'requirement documentation demand', 'prerequisite support prerequisite', 'requisite corroboration essential', 'requisite certification essential', 'requisite certification necessary', 'essential documentation essential', 'risk of exposure protrude upshot', 'hazard picture put out', 'endangerment cast issue', 'risk of infection labor proceeds', 'peril send off bring out', 'hazard picture consequence']"
11.2.1.3,AGREEMENTS,". if the project requires external procurement of resources, the agreements may have
information such as milestone dates, contract type, acceptance criteria; and awards and penalties that can present
threats or opportunities:",12.2.3.2,,". if the project require external procurement of resource , the agreement may haveinformation such as milestone date , contract type , acceptance criterion and award and penalty that can presentthreat or opportunity","['.', 'if the project require external procurement of resource , the agreement may haveinformation such as milestone date , contract type , acceptance criterion and award and penalty that can presentthreat or opportunity']","['procurement resource agreement', 'require external procurement', 'external procurement resource', 'external procurement', 'procurement resource']","['procurance resourcefulness concord', 'procurance resourcefulness accord', 'procural resourcefulness correspondence', 'procural imagination correspondence', 'procural resourcefulness agreement', 'procural resource arrangement', 'require external procural', 'involve external procurement', 'want international procurance', 'postulate outside procurement', 'postulate extraneous procurance', 'command outside procural', 'international procurance imagination', 'external procurance imagination', 'extraneous procural resourcefulness', 'international procural resourcefulness', 'international procurement resource', 'international procural imagination', 'international procurance', 'extraneous procurance', 'international procural', 'extraneous procural', 'outside procural', 'outside procurance', 'procurement resource', 'procural imagination', 'procurance resource', 'procurement imagination', 'procurement resourcefulness', 'procural resourcefulness']"
11.2.1.4,PROCUREMENT DOCUMENTATION,". if the project requires external procurement of resources, the initial procurement
documentation should be reviewed as procuring goods and services from outside the organization may increase or
decrease overall project risk and may introduce additional individual project risks. as the procurement documentation
is updated throughout the project; the most up to date documentation can be reviewed for risks. for example, seller
performance reports, approved change requests and information on inspections.",12.3.1.4,,". if the project require external procurement of resource , the initial procurementdocumentation should be review as procure good and service from outside the organization may increase ordecrease overall project risk and may introduce additional individual project risk . as the procurement documentationi update throughout the project the most up to date documentation can be review for risk . for example , sellerperformance report , approve change request and information on inspection .","['.', 'if the project require external procurement of resource , the initial procurementdocumentation should be review as procure good and service from outside the organization may increase ordecrease overall project risk and may introduce additional individual project risk .', 'as the procurement documentationi update throughout the project the most up to date documentation can be review for risk .', 'for example , sellerperformance report , approve change request and information on inspection .']","['risk procurement documentationi', 'procurementdocumentation review', 'initial procurementdocumentation review', 'procurementdocumentation review procure', 'project risk procurement']","['cast run a risk procurance', 'labor run a risk procurance', 'projection peril procurance', 'figure jeopardy procurement', 'figure peril procurance', 'jut out endangerment procurance']"
11.2.1.5,ENTERPRISE ENVIRONMENTAL FACTORS,"
the enterprise environmental factors that can influence the identify risks process include but are not limited to:
published material, including commercial risk databases or checklists,
academic studies,
benchmarking results, and
industry studies of similar projects.",,,"the enterprise environmental factor that can influence the identify risk process include but be not limit topublishe material , include commercial risk database or checklist , academic study , benchmarke result , andindustry study of similar project .","['the enterprise environmental factor that can influence the identify risk process include but be not limit topublishe material , include commercial risk database or checklist , academic study , benchmarke result , andindustry study of similar project .']","['enterprise environmental factor', 'identify risk process', 'identify risk', 'risk process include', 'enterprise environmental']","['endeavor environmental broker', 'go-ahead environmental factor out', 'enterprisingness environmental cistron', 'enterprise environmental gene', 'go-ahead environmental ingredient', 'enterprise environmental broker', 'key take a chance march', 'distinguish run a risk procedure', 'key out lay on the line appendage', 'place risk of exposure cognitive operation', 'identify gamble work on', 'distinguish put on the line sue', 'name peril', 'identify risk of exposure', 'key endangerment', 'place hazard', 'key out take a chance', 'key adventure', 'gamble march include', 'risk of exposure process include', 'put on the line action let in', 'take chances outgrowth let in', 'risk unconscious process include', 'gamble appendage include', 'endeavour environmental', 'go-ahead environmental', 'enterprisingness environmental', 'enterprise environmental', 'endeavor environmental', 'initiative environmental']"
11.2.1.6,ORGANIZATIONAL PROCESS ASSETS,"
the organizational process assets that can influence the identify risks process include but are not limited to:
project files;, including actual data;
organizational and project process controls,
risk statement formats, and
checklists from previous similar projects.
413
icth
'rep""
go
nc '",,,"the organizational process asset that can influence the identify risk process include but be not limit toproject file , include actual dataorganizational and project process control , risk statement format , andchecklist from previous similar projects.413icthrepgonc","['the organizational process asset that can influence the identify risk process include but be not limit toproject file , include actual dataorganizational and project process control , risk statement format , andchecklist from previous similar projects.413icthrepgonc']","['identify risk process', 'risk process include', 'organizational process asset', 'process asset influence', 'process control risk']","['key take a chance march', 'distinguish run a risk procedure', 'key out lay on the line appendage', 'place risk of exposure cognitive operation', 'identify gamble work on', 'distinguish put on the line sue', 'gamble march include', 'risk of exposure process include', 'put on the line action let in', 'take chances outgrowth let in', 'risk unconscious process include', 'gamble appendage include', 'organizational action plus', 'organizational physical process asset', 'organisational march asset', 'organizational operation asset', 'organisational work on plus', 'organizational unconscious process plus', 'unconscious process plus regulate', 'procedure plus mold', 'cognitive process plus regulate', 'mental process plus determine', 'action asset influence', 'litigate plus influence', 'march mastery adventure', 'procedure ascendence gamble', 'cognitive operation moderate risk', 'swear out dominance hazard', 'operation insure lay on the line', 'outgrowth insure jeopardy']"
11.2.2,IDENTIFY RISKS: TOOLS AND TECHNIQUES,,,,,[],[],[]
11.2.2.1,EXPERT JUDGMENT,". expertise should be considered from individuals or groups with specialized knowledge
of similar projects or business areas. such experts should be identified by the project manager and invited to consider
all aspects of individual project risks as well as sources of overall project risk, based on their previous experience and
areas of expertise. the experts' bias should be taken into account in this process.",4.1.2.1,,". expertise should be consider from individual or group with specialized knowledgeof similar project or business area . such expert should be identify by the project manager and invite to considerall aspect of individual project risk as well as source of overall project risk , base on their previous experience andareas of expertise . the expert bias should be take into account in this process .","['.', 'expertise should be consider from individual or group with specialized knowledgeof similar project or business area .', 'such expert should be identify by the project manager and invite to considerall aspect of individual project risk as well as source of overall project risk , base on their previous experience andareas of expertise .', 'the expert bias should be take into account in this process .']","['expertise consider individual', 'expertise expert bias', 'individual project risk', 'project risk base', 'project risk']","['expertness weigh somebody', 'expertise moot individual', 'expertise debate item-by-item', 'expertness moot soul', 'expertise view soul', 'expertise conceive soul', 'expertness adept preconception', 'expertise adept prejudice', 'expertise expert predetermine', 'expertise good bias', 'expertise skilful prejudice', 'expertness proficient preconception', 'somebody figure take chances', 'item-by-item plan endangerment', 'private envision take chances', 'mortal stick out lay on the line', 'somebody labor risk of exposure', 'person projection risk of infection', 'externalise take chances floor', 'send off put on the line home', 'task chance radix', 'projection adventure fundament', 'project run a risk base of operations', 'figure endangerment found', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection']"
11.2.2.2,DATA GATHERING,"
data-gathering techniques that can be used for this process include but are not limited to:
brainstorming: the goal of brainstorming (see section 4.1.2.2) is to obtain a comprehensive list of individual
project risks and sources of overall project risk the project team usually performs brainstorming; often with
a
multidisciplinary set of experts who are not part of the team. ideas are generated under the guidance of a
facilitator; either in a free-form brainstorm session or one that uses more structured techniques. categories of
risk; such as in a risk breakdown structure, can be used as a framework: particular attention should be paid to
ensuring that risks identified through brainstorming are clearly described, since the technique can result in ideas
that are not fully formed:
checklists. a checklist is a list of items, actions, or points to be considered. it is often used as a reminder:
risk checklists are developed based on historical information and knowledge that has been accumulated from
similar projects and from other sources of information:
are an effective way to capture lessons learned
from similar completed projects, listing specific individual project risks that have occurred previously and that
may be relevant to this project  the organization may maintain a risk checklist based on its own completed
projects or may use generic risk checklists from the industry: while a checklist may be quick and simple to use,
it is impossible to build an exhaustive one, and care should be taken to ensure the checklist is not used to avoid
the effort of proper risk identification. the project team should also explore items that do not appear on the
checklist. additionally; the checklist should be reviewed from time to time to update new information as well as
remove or archive obsolete information.
interviews: individual projectrisks and sources ofoverall projectrisk can be identified by interviewing experienced
project participants, stakeholders,  and subject  matter   experts. interviews (see   section 5.2.2.2) should be
conducted in an environment of trust and confidentiality to encourage honest and unbiased contributions.
414
part 1
guide
8
they
for
not",,,"datagathering technique that can be use for this process include but be not limited tobrainstorme the goal of brainstorm see section 4.1.2.2 be to obtain a comprehensive list of individualproject risk and source of overall project risk the project team usually perform brainstorm often withamultidisciplinary set of expert who be not part of the team . idea be generate under the guidance of afacilitator either in a freeform brainstorm session or one that use more structured technique . category ofrisk such as in a risk breakdown structure , can be use as a framework particular attention should be pay toensure that risk identify through brainstorming be clearly describe , since the technique can result in ideasthat be not fully formedchecklist . a checklist be a list of item , action , or point to be consider . it be often use as a reminderrisk checklist be develop base on historical information and knowledge that have be accumulate fromsimilar project and from other source of informationare an effective way to capture lesson learnedfrom similar complete project , list specific individual project risk that have occur previously and thatmay be relevant to this project the organization may maintain a risk checklist base on its own completedproject or may use generic risk checklist from the industry while a checklist may be quick and simple to use , it be impossible to build an exhaustive one , and care should be take to ensure the checklist be not use to avoidthe effort of proper risk identification . the project team should also explore item that do not appear on thechecklist . additionally the checklist should be review from time to time to update new information as well asremove or archive obsolete information.interviews individual projectrisk and source ofoverall projectrisk can be identify by interview experiencedproject participant , stakeholder , and subject matter expert . interview see section 5.2.2.2 should beconducte in an environment of trust and confidentiality to encourage honest and unbiased contributions.414part 1guide8theyfornot","['datagathering technique that can be use for this process include but be not limited tobrainstorme the goal of brainstorm see section 4.1.2.2 be to obtain a comprehensive list of individualproject risk and source of overall project risk the project team usually perform brainstorm often withamultidisciplinary set of expert who be not part of the team .', 'idea be generate under the guidance of afacilitator either in a freeform brainstorm session or one that use more structured technique .', 'category ofrisk such as in a risk breakdown structure , can be use as a framework particular attention should be pay toensure that risk identify through brainstorming be clearly describe , since the technique can result in ideasthat be not fully formedchecklist .', 'a checklist be a list of item , action , or point to be consider .', 'it be often use as a reminderrisk checklist be develop base on historical information and knowledge that have be accumulate fromsimilar project and from other source of informationare an effective way to capture lesson learnedfrom similar complete project , list specific individual project risk that have occur previously and thatmay be relevant to this project the organization may maintain a risk checklist base on its own completedproject or may use generic risk checklist from the industry while a checklist may be quick and simple to use , it be impossible to build an exhaustive one , and care should be take to ensure the checklist be not use to avoidthe effort of proper risk identification .', 'the project team should also explore item that do not appear on thechecklist .', 'additionally the checklist should be review from time to time to update new information as well asremove or archive obsolete information.interviews individual projectrisk and source ofoverall projectrisk can be identify by interview experiencedproject participant , stakeholder , and subject matter expert .', 'interview see section 5.2.2.2 should beconducte in an environment of trust and confidentiality to encourage honest and unbiased contributions.414part 1guide8theyfornot']","['risk identify brainstorming', 'project risk project', 'risk project team', 'project risk', 'risk project']","['chance identify brainstorm', 'peril name brainstorm', 'lay on the line name brainstorming', 'peril distinguish brainstorming', 'jeopardy discover brainstorm', 'chance distinguish brainstorm', 'externalize risk of exposure send off', 'protrude jeopardy jut out', 'picture peril send off', 'design gamble cast', 'undertaking lay on the line fancy', 'projection danger see', 'run a risk jut squad', 'danger figure team', 'risk image squad', 'peril jut team', 'put on the line cast squad', 'peril task team up', 'figure risk of exposure', 'propose peril', 'projection hazard', 'visualize risk', 'design put on the line', 'visualise risk of infection', 'take a chance labor', 'risk of infection propose', 'endangerment protrude', 'take a chance protrude', 'put on the line see', 'put on the line propose']"
11.2.2.3,DATA ANALYSIS,"
data analysis techniques that can be used for this process include but are not limited to:
root cause analysis:
root cause analysis (see section 8.2.2.2) is typically used to discover the underlying
causes that lead to a problem; and develop preventive action: it can be used to identify threats by starting with a
problem statement (for example, the project might be delayed or over budget) and exploring which threats might
result in that problem occurring: the same technique can be used to find opportunities by starting with a benefit
statement (for example, early delivery or under budget) and exploring which opportunities might result in that
benefit being realized.
assumption and constraint analysis: every  project and its project management plan are  conceived
and developed based on a set of assumptions and within a series of constraints. these are often already
incorporated in the scope baseline and project estimates. assumption and constraint analysis explores the
validity of assumptions and constraints to determine which pose a risk to the project: threats may be identified
from the inaccuracy; instability; inconsistency; or incompleteness of assumptions. constraints may give rise to
opportunities through removing or relaxing a limiting factor that affects the execution of a project or process.
swot analysis: this technique examines the project from each of the strengths, weaknesses, opportunities,
and threats (swot) perspectives. for risk identification, it is used to increase the breadth of identified risks by
including internally generated risks. the technique starts with the identification of strengths and weaknesses
of the organization; focusing on either the project; organization; or the business area in general. swot analysis
then identifies any opportunities for the project that may arise from strengths, and any threats resulting from
weaknesses. the analysis also examines the degree to which organizational strengths may offset threats and
determines if weaknesses might hinder opportunities
document analysis:. risks may be identified from a structured review of project
documents,  including; but not limited to, plans, assumptions, constraints, previous project files, contracts,
agreements,
and
technical   documentation.   uncertainty
or   ambiguity
in   project  documents,
as
well
as
inconsistencies within a document or between different documents, may be indicators of risk on the project:
415
distribu
for
not",5.2.2.3,,"datum analysis technique that can be use for this process include but be not limited toroot cause analysisroot cause analysis see section 8.2.2.2 be typically use to discover the underlyingcause that lead to a problem and develop preventive action it can be use to identify threat by start with aproblem statement for example , the project might be delay or over budget and explore which threat mightresult in that problem occur the same technique can be use to find opportunity by start with a benefitstatement for example , early delivery or under budget and explore which opportunity might result in thatbenefit be realized.assumption and constraint analysis every project and its project management plan be conceivedand develop base on a set of assumption and within a series of constraint . these be often alreadyincorporate in the scope baseline and project estimate . assumption and constraint analysis explore thevalidity of assumption and constraint to determine which pose a risk to the project threat may be identifiedfrom the inaccuracy instability inconsistency or incompleteness of assumption . constraint may give rise toopportunitie through remove or relax a limit factor that affect the execution of a project or process.swot analysis this technique examine the project from each of the strength , weakness , opportunity , and threat swot perspective . for risk identification , it be use to increase the breadth of identify risk byinclude internally generate risk . the technique start with the identification of strength and weaknessesof the organization focus on either the project organization or the business area in general . swot analysisthen identify any opportunity for the project that may arise from strength , and any threat result fromweaknesse . the analysis also examine the degree to which organizational strength may offset threat anddetermine if weakness might hinder opportunitiesdocument analysis . risk may be identify from a structured review of projectdocument , include but not limit to , plan , assumption , constraint , previous project file , contract , agreement , andtechnical documentation . uncertaintyor ambiguityin project document , aswellasinconsistencie within a document or between different document , may be indicator of risk on the project415distribufornot","['datum analysis technique that can be use for this process include but be not limited toroot cause analysisroot cause analysis see section 8.2.2.2 be typically use to discover the underlyingcause that lead to a problem and develop preventive action it can be use to identify threat by start with aproblem statement for example , the project might be delay or over budget and explore which threat mightresult in that problem occur the same technique can be use to find opportunity by start with a benefitstatement for example , early delivery or under budget and explore which opportunity might result in thatbenefit be realized.assumption and constraint analysis every project and its project management plan be conceivedand develop base on a set of assumption and within a series of constraint .', 'these be often alreadyincorporate in the scope baseline and project estimate .', 'assumption and constraint analysis explore thevalidity of assumption and constraint to determine which pose a risk to the project threat may be identifiedfrom the inaccuracy instability inconsistency or incompleteness of assumption .', 'constraint may give rise toopportunitie through remove or relax a limit factor that affect the execution of a project or process.swot analysis this technique examine the project from each of the strength , weakness , opportunity , and threat swot perspective .', 'for risk identification , it be use to increase the breadth of identify risk byinclude internally generate risk .', 'the technique start with the identification of strength and weaknessesof the organization focus on either the project organization or the business area in general .', 'swot analysisthen identify any opportunity for the project that may arise from strength , and any threat result fromweaknesse .', 'the analysis also examine the degree to which organizational strength may offset threat anddetermine if weakness might hinder opportunitiesdocument analysis .', 'risk may be identify from a structured review of projectdocument , include but not limit to , plan , assumption , constraint , previous project file , contract , agreement , andtechnical documentation .', 'uncertaintyor ambiguityin project document , aswellasinconsistencie within a document or between different document , may be indicator of risk on the project415distribufornot']","['risk project threat', 'analysis risk identify', 'technique examine project', 'opportunitiesdocument analysis risk', 'project threat identifiedfrom']","['take a chance figure threat', 'danger visualize terror', 'jeopardy projection scourge', 'chance protrude terror', 'jeopardy visualize terror', 'gamble design menace', 'psychoanalysis lay on the line key out', 'psychoanalysis adventure key', 'psychoanalysis peril discover', 'analytic thinking endangerment key out', 'depth psychology risk of exposure discover', 'psychoanalysis put on the line discover', 'proficiency analyse cast', 'proficiency essay project', 'technique canvas envision', 'proficiency examine jut', 'proficiency essay send off', 'technique examine propose']"
